Objects
100
,,Global Angle fuselage:fuselage,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
72,0,0.216086,-0.444739,0.233978,2321.268311,-451.222595,1486.552612
73,0,0.214067,-0.442434,0.233466,2328.343994,-447.191467,1486.429932
74,0,0.210252,-0.439047,0.232279,2335.439941,-443.103363,1486.540527
75,0,0.206327,-0.436367,0.231064,2343.166748,-439.123718,1486.157593
76,0,0.204904,-0.433986,0.229888,2350.814941,-435.109985,1486.400269
77,0,0.202193,-0.429900,0.228796,2358.961426,-431.013123,1486.431519
78,0,0.200048,-0.427822,0.227418,2367.336914,-426.783783,1486.906494
79,0,0.198693,-0.424189,0.225965,2376.038574,-422.517090,1487.579834
80,0,0.197590,-0.423803,0.224369,2385.005615,-418.009766,1488.505371
81,0,0.197339,-0.421227,0.222713,2394.413330,-413.386169,1489.614380
82,0,0.197346,-0.421744,0.221254,2404.075928,-408.510162,1491.067383
83,0,0.197779,-0.420291,0.219910,2413.954346,-403.421692,1493.049561
84,0,0.198082,-0.419237,0.218708,2424.010010,-398.107117,1495.041748
85,0,0.199591,-0.418999,0.217587,2434.077637,-392.687744,1497.443481
86,0,0.199859,-0.418027,0.216529,2444.489502,-387.269287,1499.808472
87,0,0.200305,-0.418477,0.215401,2454.973145,-382.033112,1502.200562
88,0,0.200711,-0.416006,0.214216,2465.622803,-377.243744,1504.926270
89,0,0.199447,-0.412360,0.212703,2476.381592,-372.673828,1507.330322
90,0,0.199091,-0.415181,0.211712,2487.129639,-368.414551,1509.997437
91,0,0.198107,-0.415236,0.210157,2497.789307,-364.364044,1512.555420
92,0,0.196918,-0.414892,0.208531,2508.422363,-360.590027,1515.245850
93,0,0.195663,-0.413469,0.207031,2519.380371,-356.758453,1517.664551
94,0,0.194886,-0.412569,0.205171,2530.225586,-352.897797,1520.043091
95,0,0.194342,-0.412087,0.203505,2541.223877,-349.011719,1522.400879
96,0,0.193938,-0.410322,0.201747,2552.643799,-344.982483,1524.614380
97,0,0.194259,-0.410975,0.199736,2564.380127,-340.996918,1526.647827
98,0,0.194431,-0.410744,0.197584,2576.299072,-337.091919,1528.823486
99,0,0.195705,-0.410232,0.195408,2588.445068,-333.283478,1530.791016
100,0,0.196009,-0.409315,0.192508,2600.529053,-329.427277,1533.089355
101,0,0.198552,-0.410725,0.190450,2612.851807,-325.551208,1535.142822
102,0,0.200469,-0.408320,0.186530,2625.326904,-321.785645,1537.040161
103,0,0.201035,-0.407610,0.184708,2637.862793,-317.820465,1539.674683
104,0,0.204797,-0.404780,0.181106,2650.203369,-314.002777,1541.279663
105,0,0.207856,-0.403420,0.177958,2662.272461,-310.445862,1543.215454
106,0,0.210148,-0.401544,0.174471,2674.218018,-307.128510,1545.285767
107,0,0.213473,-0.398654,0.171186,2686.101807,-304.048370,1547.082031
108,0,0.216050,-0.396873,0.167510,2697.655518,-301.180511,1549.113525
109,0,0.218656,-0.394316,0.163797,2709.111572,-298.387512,1550.738037
110,0,0.220987,-0.391501,0.160086,2720.363770,-295.705078,1552.492920
111,0,0.223187,-0.389986,0.156490,2731.729248,-293.173706,1553.478394
112,0,0.226066,-0.387148,0.152886,2743.379639,-290.777710,1555.484863
113,0,0.228599,-0.386898,0.149264,2754.918701,-288.345184,1556.220947
114,0,0.230820,-0.383597,0.145536,2766.741211,-285.826477,1557.674561
115,0,0.232681,-0.382903,0.142345,2778.622070,-283.185883,1558.233032
116,0,0.232830,-0.382047,0.138160,2790.772949,-280.440247,1558.341797
117,0,0.231966,-0.380677,0.135267,2802.907227,-277.979401,1558.338013
118,0,0.229154,-0.378643,0.130953,2815.471924,-275.299316,1557.977295
119,0,0.235937,-0.376818,0.129241,2827.816650,-273.192322,1558.564575
120,0,0.236877,-0.375887,0.126249,2840.140381,-271.008179,1557.899292
121,0,0.238109,-0.374461,0.124147,2852.408447,-268.939453,1557.116699
122,0,0.237092,-0.373693,0.121163,2864.642822,-266.688293,1556.142090
123,0,0.238187,-0.370085,0.119129,2877.152344,-265.001129,1554.584106
124,0,0.236775,-0.369773,0.116567,2889.358398,-263.322296,1553.385986
125,0,0.235575,-0.368512,0.114016,2901.779297,-262.082184,1552.017700
126,0,0.234735,-0.368305,0.111816,2914.203613,-261.005402,1550.299805
127,0,0.233099,-0.366771,0.109481,2926.897461,-260.103577,1548.900513
128,0,0.232310,-0.364914,0.107317,2939.903320,-259.350433,1547.511719
129,0,0.231754,-0.361261,0.105443,2953.474365,-258.541443,1546.365601
130,0,0.231006,-0.358554,0.103964,2967.115967,-257.698273,1545.679443
131,0,0.230060,-0.353072,0.102664,2981.387207,-256.743439,1545.175781
132,0,0.228870,-0.348481,0.101664,2995.979980,-255.781479,1544.859863
133,0,0.227961,-0.342476,0.100997,3010.770264,-254.566162,1544.739990
134,0,0.226866,-0.331868,0.100498,3026.083984,-253.728516,1544.833740
135,0,0.224764,-0.324935,0.099323,3041.575928,-252.630020,1544.687134
136,0,0.221223,-0.317549,0.098348,3056.917480,-251.307068,1544.938721
137,0,0.219463,-0.310212,0.098026,3072.446045,-250.467834,1544.754639
138,0,0.218593,-0.304339,0.098333,3087.710693,-249.431854,1544.499268
139,0,0.217790,-0.296796,0.099114,3102.829590,-248.633057,1544.598877
140,0,0.213943,-0.291134,0.098956,3118.197754,-247.819183,1544.024170
141,0,0.211929,-0.283902,0.099833,3133.445312,-247.181290,1543.922607
142,0,0.207606,-0.279744,0.100674,3148.862549,-246.555740,1543.159302
143,0,0.207121,-0.275355,0.101071,3164.657715,-246.098984,1542.895508
144,0,0.203479,-0.271390,0.102806,3180.533447,-245.280106,1541.958252
145,0,0.200151,-0.268540,0.104676,3196.772705,-244.574081,1541.200562
146,0,0.199143,-0.264302,0.106698,3213.226562,-243.794510,1540.102539
147,0,0.195753,-0.262749,0.108734,3229.711670,-242.591431,1539.817017
148,0,0.193864,-0.259947,0.110901,3246.682129,-241.681564,1538.865479
149,0,0.191829,-0.258476,0.113609,3263.645020,-240.588821,1538.260620
150,0,0.189766,-0.258475,0.116341,3280.772949,-239.686462,1537.649170
151,0,0.187336,-0.257103,0.118989,3298.152588,-238.404907,1537.295776
152,0,0.186414,-0.255344,0.122532,3315.589844,-237.206070,1536.944336
153,0,0.184175,-0.255173,0.125462,3333.187012,-235.648209,1536.768433
154,0,0.183082,-0.256145,0.129465,3350.733154,-234.036102,1536.811768
155,0,0.182218,-0.256093,0.132942,3368.407715,-232.548615,1537.277588
156,0,0.180281,-0.258692,0.136030,3386.037109,-230.983170,1537.731689
157,0,0.178473,-0.260801,0.139667,3403.582275,-229.345947,1538.448975
158,0,0.177278,-0.263454,0.143970,3421.376221,-227.239288,1539.141602
159,0,0.176127,-0.267406,0.147748,3439.108154,-225.186356,1539.723267
160,0,0.174794,-0.268630,0.151735,3457.363770,-223.004333,1540.278809
161,0,0.173436,-0.272101,0.154753,3475.359375,-220.498444,1540.469604
162,0,0.174065,-0.274125,0.159239,3493.840332,-217.859680,1540.443237
163,0,0.180387,-0.271865,0.164890,3513.132080,-215.136139,1538.990479
164,0,0.175295,-0.274720,0.167755,3531.036621,-212.278702,1539.877808
165,0,0.164776,-0.279789,0.169789,3548.501465,-209.319733,1541.789551
